binomial,fossilArea
Ameerega petersi,17943.05838
Ameerega picta,463818.3328
Ameerega planipaleae,0
Ameerega pongoensis,0
Ameerega pulchripecta,0
Ameerega rubriventris,0
Ameerega shihuemoy,0
Ameerega silverstonei,0
Ameerega simulans,6597.05487
Ameerega smaragdina,0
Ameerega trivittata,213522.1745
Ameerega yoshina,0
Ameerega yungicola,0
Amietia amieti,0
Amietia angolensis,18258.7679
Amietia chapini,9241.402265
Amietia delalandii,101049.9203
Amietia desaegeri,0.4765693
Amietia dracomontana,0
Amietia fuscigula,12069.98081
Amietia hymenopus,0
Amietia inyangae,0
Amietia johnstoni,0
Amietia lubrica,0
Amietia moyerorum,4116.579835
Amietia nutti,27449.5246
Amietia poyntoni,89121.32197
Amietia ruwenzorica,48.324355
Amietia tenuoplicata,0
Amietia vandijki,0
Amietia vertebralis,0
Amietia wittei,1.292941754
Amnirana albolabris,326338.2917
Amnirana amnicola,4989.327838
Amnirana asperrima,0
Amnirana darlingi,181406.9997
Amnirana fonensis,0
Amnirana galamensis,753526.5297
Amnirana lemairei,59286.36571
Amnirana lepus,168301.2548
Amnirana longipes,225.7517645
Amnirana occidentalis,3398.938538
Amnirana parkeriana,0
Amolops akhaorum,0
Amolops albispinus,46.45162608
Amolops aniqiaoensis,0
Amolops archotaphus,0
Amolops assamensis,1149.625463
Amolops bellulus,0
Amolops caelumnoctis,0
Amolops chakrataensis,0
Amolops chayuensis,0
Amolops chunganensis,1044.589976
Amolops compotrix,0
Amolops cremnobatus,0.053110337
Amolops cucae,0
Amolops daiyunensis,112.27430150000001
Amolops formosus,4157.850085
Amolops gerbillus,5709.362949
Amolops granulosus,834.788403
Amolops hainanensis,0
Amolops hongkongensis,0.244162085
Amolops iriodes,0
Amolops jaunsari,0
Amolops jinjiangensis,0
Amolops kaulbacki,0
Amolops larutensis,1345.681138
Amolops lifanensis,618.3331295
Amolops loloensis,0
Amolops longimanus,0
Amolops mantzorum,96.74363906
Amolops marmoratus,9801.858649
Amolops medogensis,0
Amolops mengdingensis,0
Amolops mengyangensis,0
Amolops minutus,0
Amolops monticola,18.46114293
Amolops nepalicus,0
Amolops nyingchiensis,0
Amolops panhai,2.202243391
Amolops ricketti,7746.47834
Amolops shuichengicus,0
Amolops spinapectoralis,0
Amolops splendissimus,0
Amolops torrentis,0
Amolops tuberodepressus,0
Amolops viridimaculatus,0
Amolops vitreus,0
Amolops wenshanensis,0
Amolops wuyiensis,357.9851522
Amolops xinduqiao,0
Amolops yunkaiensis,0
Amphiuma means,72649.25107
Amphiuma pholeter,6285.016679
Amphiuma tridactylum,128617.769
Anaxyrus americanus,69016.81477
Anaxyrus baxteri,0
Anaxyrus boreas,256391.9284
Anaxyrus californicus,637.8099475
Anaxyrus canorus,0
Anaxyrus cognatus,313650.641
Anaxyrus compactilis,49979.00692
Anaxyrus debilis,288837.0738
Anaxyrus exsul,0
Anaxyrus fowleri,146268.0758
Anaxyrus hemiophrys,0
Anaxyrus houstonensis,7593.84368
Anaxyrus kelloggi,41596.57951
Anaxyrus mexicanus,3185.395877
Anaxyrus microscaphus,56974.49661
Anaxyrus nelsoni,58.06275066
Anaxyrus punctatus,460947.4514
Anaxyrus quercicus,72400.79209
Anaxyrus retiformis,19944.75349
Anaxyrus speciosus,218263.3675
Anaxyrus terrestris,73179.28934
Anaxyrus woodhousii,329566.3686
Andinobates abditus,0
Andinobates altobueyensis,0
Andinobates bombetes,0
Andinobates claudiae,7.208347381
Andinobates daleswansoni,0
Andinobates dorisswansonae,0
Andinobates fulguritus,2563.982429
Andinobates geminisae,0
Andinobates minutus,2945.814531
Andinobates opisthomelas,0
Andinobates tolimensis,0
Andinobates victimatus,0
Andinobates viridis,0
Andinobates virolinensis,0
Andrias davidianus,45246.94048
Andrias japonicus,1169.636901
Aneides aeneus,0
Aneides ferreus,589.3315924
Aneides flavipunctatus,744.9243468
Aneides hardii,4620.225134
Aneides lugubris,6348.117229
Aneides vagrans,488.447334
Anhydrophryne hewitti,27.2037212
Anhydrophryne ngongoniensis,0
Anhydrophryne rattrayi,0
Anilany helenae,0
Anodonthyla boulengeri,562.331393
Anodonthyla emilei,0
Anodonthyla hutchisoni,1.252949052
Anodonthyla jeanbai,0
Anodonthyla montana,0
Anodonthyla moramora,0
Anodonthyla nigrigularis,0
Anodonthyla pollicaris,0
Anodonthyla rouxae,0
Anodonthyla theoi,0.006858818
Anodonthyla vallani,0
Anomaloglossus ayarzaguenai,0
Anomaloglossus baeobatrachus,8521.331686
Anomaloglossus beebei,0
Anomaloglossus blanci,0
Anomaloglossus breweri,0
Anomaloglossus degranvillei,0
Anomaloglossus dewynteri,0
Anomaloglossus guanayensis,0
Anomaloglossus kaiei,0
Anomaloglossus leopardus,0
Anomaloglossus megacephalus,0
Anomaloglossus moffetti,0
Anomaloglossus murisipanensis,0
Anomaloglossus parimae,0
Anomaloglossus parkerae,0
Anomaloglossus praderioi,0
Anomaloglossus roraima,0
Anomaloglossus rufulus,0
Anomaloglossus shrevei,0
Anomaloglossus stepheni,0
Anomaloglossus surinamensis,0
Anomaloglossus tamacuarensis,0
Anomaloglossus tepuyensis,0
Anomaloglossus triunfo,0
Anomaloglossus verbeeksnyderorum,0
Anomaloglossus wothuja,0
Ansonia albomaculata,44.50281417
Ansonia echinata,0
Ansonia endauensis,0
Ansonia fuliginea,0
Ansonia glandulosa,0
Ansonia guibei,0
Ansonia hanitschi,0
Ansonia inthanon,0
Ansonia jeetsukumarani,0
Ansonia khaochangensis,0
Ansonia kraensis,3.8724763
Ansonia kyaiktiyoensis,0
Ansonia latidisca,0
Ansonia latiffi,192.8546698
Ansonia latirostra,0
Ansonia leptopus,12329.71948
Ansonia longidigita,707.7664297
Ansonia malayana,3210.051563
Ansonia mcgregori,0
Ansonia minuta,772.1319966
Ansonia muelleri,160.9861979
Ansonia penangensis,1.659379786
Ansonia phuketensis,0
Ansonia platysoma,0
Ansonia siamensis,0
Ansonia smeagol,0
Ansonia spinulifer,1863.880621
Ansonia teneritas,0
Ansonia thinthinae,0
Ansonia tiomanica,0
Ansonia torrentis,0
Ansonia vidua,0
Aparasphenodon bokermanni,33.06038436
Aparasphenodon brunoi,8116.178013
Aparasphenodon venezolanus,0
Aphantophryne minuta,0
Aphantophryne nana,0
Aphantophryne pansa,0
Aphantophryne sabini,0
Aplastodiscus albofrenatus,424.2143142
Aplastodiscus albosignatus,1390.924658
Aplastodiscus arildae,2976.49542
Aplastodiscus callipygius,1.733008794
Aplastodiscus cavicola,0
Aplastodiscus cochranae,54.33490953
Aplastodiscus ehrhardti,3.603787194
Aplastodiscus eugenioi,218.0804342
Aplastodiscus flumineus,0
Aplastodiscus ibirapitanga,307.0750844
Aplastodiscus leucopygius,1276.919924
Aplastodiscus musicus,0
Aplastodiscus perviridis,5862.975183
Aplastodiscus sibilatus,420.684175
Aplastodiscus weygoldti,0
Aquiloeurycea cafetalera,0
Aquiloeurycea cephalica,169.2197167
Aquiloeurycea galeanae,1.817745408
Aquiloeurycea praecellens,0
Aquiloeurycea quetzalanensis,0
Aquiloeurycea scandens,5.216929601
Arcovomer passarellii,4770.132418
Arenophryne rotunda,287.1329723
Argenteohyla siemersi,58934.5016
Arlequinus krebsi,0
Aromobates alboguttatus,0
Aromobates cannatellai,0
Aromobates capurinensis,0
Aromobates duranti,0
Aromobates ericksonae,0
Aromobates haydeeae,0
Aromobates leopardalis,0
Aromobates mayorgai,0
Aromobates meridensis,0
Aromobates molinarii,0
Aromobates nocturnus,0
Aromobates ornatissimus,0
Aromobates orostoma,0
Aromobates saltuensis,0
Aromobates serranus,0
Aromobates tokuko,0
Aromobates walterarpi,0
Aromobates zippeli,0
Arthroleptella bicolor,0
Arthroleptella drewesii,0
Arthroleptella landdrosia,2.297170276
Arthroleptella lightfooti,7.042758939
Arthroleptella rugosa,0
Arthroleptella subvoce,0
Arthroleptella villiersi,154.6234401
Arthroleptides dutoiti,0
Arthroleptides martiensseni,0
Arthroleptides yakusini,0
Arthroleptis adelphus,4612.883663
Arthroleptis adolfifriederici,0
Arthroleptis affinis,0
Arthroleptis anotis,0
Arthroleptis aureoli,4.516285453
Arthroleptis bioko,0
Arthroleptis bivittatus,2.399476582
Arthroleptis brevipes,0
Arthroleptis carquejai,0
Arthroleptis crusculum,0
Arthroleptis fichika,0
Arthroleptis formosus,0
Arthroleptis francei,0
Arthroleptis hematogaster,0
Arthroleptis kidogo,0
Arthroleptis krokosua,0
Arthroleptis kutogundua,0
Arthroleptis lameerei,45907.11719
Arthroleptis langeri,0
Arthroleptis lonnbergi,0
Arthroleptis loveridgei,0
Arthroleptis mossoensis,0
Arthroleptis nguruensis,0
Arthroleptis nikeae,0
Arthroleptis nimbaensis,0
Arthroleptis nlonakoensis,0
Arthroleptis palava,154.186766
Arthroleptis perreti,0
Arthroleptis phrynoides,0
Arthroleptis poecilonotus,190249.9199
Arthroleptis pyrrhoscelis,0
Arthroleptis reichei,0
Arthroleptis schubotzi,809.3961553
Arthroleptis spinalis,7.542678117
Arthroleptis stenodactylus,395264.3659
Arthroleptis stridens,0
Arthroleptis sylvaticus,102019.5728
Arthroleptis taeniatus,6147.710386
Arthroleptis tanneri,0
Arthroleptis troglodytes,0
Arthroleptis tuberosus,92419.36641
Arthroleptis variabilis,131351.0095
Arthroleptis vercammeni,0
Arthroleptis wahlbergii,1008.661848
Arthroleptis xenochirus,151741.2985
Arthroleptis xenodactyloides,110130.0878
Arthroleptis xenodactylus,0
Arthroleptis zimmeri,0
Ascaphus montanus,2083.641333
Ascaphus truei,3418.002664
Assa darlingtoni,1115.416901
Asterophrys eurydactyla,0.001704197
Asterophrys foja,0
Asterophrys leucopus,0
Asterophrys marani,0
Asterophrys pullifer,0
Asterophrys slateri,3073.303369
Asterophrys turpicola,23548.65958
Astylosternus batesi,6887.448629
Astylosternus diadematus,103.7371829
Astylosternus fallax,0
Astylosternus laticephalus,116.479627
Astylosternus laurenti,0
Astylosternus montanus,317.4274037
Astylosternus nganhanus,0
Astylosternus occidentalis,5200.409791
Astylosternus perreti,0
Astylosternus ranoides,0
Astylosternus rheophilus,323.6773632
Astylosternus schioetzi,0
Atelognathus ceii,0
Atelognathus nitoi,0
Atelognathus patagonicus,0
Atelognathus praebasalticus,0
Atelognathus reverberii,1.611212733
Atelognathus salai,403.9921334
Atelognathus solitarius,0
Atelopus andinus,0
Atelopus angelito,0
Atelopus ardila,0
Atelopus arsyecue,0
Atelopus arthuri,0
Atelopus balios,0.042736649
Atelopus bomolochos,0
Atelopus boulengeri,0
Atelopus carauta,0
Atelopus carbonerensis,0
Atelopus carrikeri,0
Atelopus certus,0.069231595
Atelopus chiriquiensis,0
Atelopus chirripoensis,0
Atelopus chocoensis,0
Atelopus chrysocorallus,0
Atelopus coynei,0
Atelopus cruciger,797.1633081
Atelopus dimorphus,0
Atelopus ebenoides,0
Atelopus elegans,0.089213014
Atelopus epikeisthos,0
Atelopus erythropus,0
Atelopus eusebianus,0
Atelopus eusebiodiazi,0
Atelopus exiguus,0
Atelopus famelicus,0
Atelopus farci,0
Atelopus flavescens,0
Atelopus franciscus,611.6106227
Atelopus galactogaster,0
Atelopus gigas,0
Atelopus glyphus,0
Atelopus guanujo,0
Atelopus guitarraensis,0
Atelopus halihelos,0
Atelopus ignescens,0
Atelopus laetissimus,0
Atelopus limosus,0
Atelopus loettersi,0
Atelopus longibrachius,0
Atelopus longirostris,0
Atelopus lozanoi,0
Atelopus lynchi,0
Atelopus mandingues,0
Atelopus marinkellei,0
Atelopus mindoensis,0
Atelopus minutulus,0
Atelopus mittermeieri,0
Atelopus monohernandezii,0
Atelopus mucubajiensis,0
Atelopus muisca,0
Atelopus nahumae,0
Atelopus nanay,0
Atelopus nepiozomus,0
Atelopus nicefori,0
Atelopus nocturnus,0
Atelopus onorei,0
Atelopus orcesi,0
Atelopus oxapampae,0
Atelopus oxyrhynchus,0
Atelopus pachydermus,0
Atelopus palmatus,0
Atelopus pastuso,0
Atelopus patazensis,0
Atelopus pedimarmoratus,0
Atelopus peruensis,28.70422419
Atelopus petersi,0
Atelopus petriruizi,0
Atelopus pictiventris,0
Atelopus pinangoi,0
Atelopus planispina,0
Atelopus podocarpus,0
Atelopus pulcher,0
Atelopus pyrodactylus,0
Atelopus quimbaya,0
Atelopus reticulatus,0
Atelopus sanjosei,0
Atelopus seminiferus,0
Atelopus senex,0
Atelopus sernai,0
Atelopus simulatus,0
Atelopus siranus,0
Atelopus sonsonensis,0
Atelopus sorianoi,0
Atelopus spumarius,40788.60857
Atelopus spurrelli,359.0334935
Atelopus subornatus,0
Atelopus tamaense,0
Atelopus tricolor,0
Atelopus varius,0
Atelopus vogli,2.790803884
Atelopus walkeri,0
Atelopus zeteki,0
Atlantihyla panchoi,0
Atlantihyla spinipollex,0.249158008
Atopophrynus syntomopus,0
Aubria masako,159450.082
Aubria occidentalis,67392.48867
Aubria subsigillata,5202.486063
Austrochaperina adamantina,0
Austrochaperina adelphe,24837.68452
Austrochaperina alexanderi,0
Austrochaperina aquilonia,0
Austrochaperina archboldi,0
Austrochaperina basipalmata,35.14214709
Austrochaperina blumi,0
Austrochaperina brevipes,0
Austrochaperina derongo,7635.688119
Austrochaperina fryi,40.21345127
Austrochaperina gracilipes,8423.510989
Austrochaperina hooglandi,0
Austrochaperina kosarek,0
Austrochaperina laurae,0
Austrochaperina macrorhyncha,323.274231
Austrochaperina mehelyi,0
Austrochaperina minutissima,0
Austrochaperina novaebritanniae,196.1757962
Austrochaperina palmipes,1.364855441
Austrochaperina parkeri,577.6560518
Austrochaperina pluvialis,1220.568315
Austrochaperina polysticta,0
Austrochaperina punctata,0
Austrochaperina rivularis,0
Austrochaperina robusta,194.9843533
Austrochaperina rudolfarndti,0
Austrochaperina septentrionalis,3.236453752
Austrochaperina yelaensis,19.3837442
Babina holsti,3.56858373
Babina subaspera,86.5697199
Balebreviceps hillmani,0
Barbarophryne brongersmai,6591.924561
Barbourula busuangensis,11.1871337
Barbourula kalimantanensis,0
Barycholos pulcher,5502.359221
Barycholos ternetzi,34857.71041
Barygenys apodasta,0
Barygenys atra,136.4458197
Barygenys cheesmanae,0
Barygenys exsul,19.38374426
Barygenys flavigularis,0
Barygenys maculata,0
Barygenys nana,0
Barygenys parvula,0
Barygenys resima,2.332877605
Batrachoseps attenuatus,11627.36279
Batrachoseps campi,8.216710631
Batrachoseps diabolicus,0
Batrachoseps gabrieli,0
Batrachoseps gavilanensis,26.39551995
Batrachoseps gregarius,3192.887542
Batrachoseps incognitus,0
Batrachoseps kawia,0
Batrachoseps luciae,0
Batrachoseps major,1602.692879
Batrachoseps minor,0
Batrachoseps nigriventris,2056.069329
Batrachoseps pacificus,0
Batrachoseps regius,0
Batrachoseps relictus,0
Batrachoseps robustus,2.929684912
Batrachoseps simatus,0
Batrachoseps stebbinsi,0
Batrachoseps wrighti,0
Batrachuperus karlschmidti,0
Batrachuperus londongensis,0
Batrachuperus pinchonii,2701.320091
Batrachuperus tibetanus,3272.458924
Batrachuperus yenyuanensis,0
Batrachyla antartandica,3038.572347
Batrachyla fitzroya,0
Batrachyla leptopus,3000.500993
Batrachyla nibaldoi,7.004622118
Batrachyla taeniata,811.3892457
Bijurana nicobariensis,132356.5323
Blommersia angolafa,508.8584075
Blommersia blommersae,0
Blommersia dejongi,214.4612355
Blommersia domerguei,0
Blommersia galani,97.26937549
Blommersia grandisonae,414.4047682
Blommersia kely,0
Blommersia nataliae,0
Blommersia sarotra,0
Blommersia transmarina,0
Blommersia variabilis,264.0071181
Blommersia wittei,5166.448936
Boana aguilari,0
Boana albomarginata,13464.30613
Boana albonigra,1026.144725
Boana albopunctata,354204.7729
Boana alemani,3.190462786
Boana atlantica,72.64993217
Boana balzani,0
Boana beckeri,0
Boana bischoffi,5696.653697
Boana boans,721086.2458
Boana buriti,0
Boana caingua,2184.111885
Boana calcarata,428629.8769
Boana callipleura,0
Boana cinerascens,310296.5913
Boana cipoensis,0
Boana claresignata,0
Boana clepsydra,1.303052922
Boana cordobae,750.6643997
Boana crepitans,397947.9211
Boana curupi,0
Boana cymbalum,0
Boana dentei,531.6173039
Boana ericae,0
Boana exastis,0
Boana faber,28422.71159
Boana fasciata,535992.4272
Boana freicanecae,0
Boana fuentei,0
Boana geographica,956534.7934
Boana gladiator,0
Boana goiana,0
Boana guentheri,5986.585628
Boana heilprini,866.0546132
Boana hobbsi,0
Boana hutchinsi,0
Boana jimenezi,0
Boana joaquini,0
Boana lanciformis,534460.0889
Boana latistriata,0
Boana lemai,0
Boana leptolineata,905.9777689
Boana leucocheila,0
Boana lundii,4367.265137
Boana marginata,106.5322819
Boana marianitae,566.3745567
Boana melanopleura,0
Boana microderma,0
Boana multifasciata,161857.8363
Boana nympha,8026.989162
Boana ornatissima,33247.15728
Boana palaestes,0
Boana pardalis,6575.412641
Boana pellucens,6300.070033
Boana phaeopleura,0
Boana picturata,708.6106103
Boana polytaenia,538.2436994
Boana pombali,4845.399124
Boana prasina,450.7899295
Boana pugnax,93934.86164
Boana pulchella,678770.0994
Boana pulidoi,0
Boana punctata,1523142.785
Boana raniceps,1532949.628
Boana rhythmica,0
Boana riojana,40846.1685
Boana roraima,0
Boana rosenbergi,15300.13819
Boana rubracyla,79.28450472
Boana rufitela,1886.683981
Boana secedens,0
Boana semiguttata,47.74426302
Boana semilineata,13359.30019
Boana sibleszi,0
Boana stellae,0
Boana stenocephala,0
Boana tepuiana,0
Boana tetete,0
Boana wavrini,45817.10303
Boehmantis microtympanum,0
Bokermannohyla ahenea,0
Bokermannohyla alvarengai,2609.288927
Bokermannohyla astartea,863.3867534
Bokermannohyla caramaschii,0
Bokermannohyla carvalhoi,0
Bokermannohyla circumdata,140.2645325
Bokermannohyla diamantina,0
Bokermannohyla feioi,0
Bokermannohyla gouveai,0
Bokermannohyla hylax,2718.405394
Bokermannohyla ibitiguara,0
Bokermannohyla ibitipoca,0
Bokermannohyla itapoty,0
Bokermannohyla izecksohni,0
Bokermannohyla langei,0
Bokermannohyla lucianae,0
Bokermannohyla luctuosa,221.7892984
Bokermannohyla martinsi,0
Bokermannohyla nanuzae,0
Bokermannohyla oxente,0
Bokermannohyla pseudopseudis,0
Bokermannohyla ravida,0
Bokermannohyla sagarana,0
Bokermannohyla saxicola,0
Bokermannohyla sazimai,0
Bokermannohyla vulcaniae,0
Bolitoglossa adspersa,351.2812042
Bolitoglossa alberchi,5.94220974
Bolitoglossa altamazonica,186809.3507
Bolitoglossa alvaradoi,0
Bolitoglossa anthracina,0
Bolitoglossa aurae,0
Bolitoglossa aureogularis,0
Bolitoglossa biseriata,5494.459831
Bolitoglossa borburata,0
Bolitoglossa bramei,0
Bolitoglossa capitana,0
Bolitoglossa carri,0
Bolitoglossa cataguana,0
Bolitoglossa celaque,0
Bolitoglossa centenorum,0
Bolitoglossa cerroensis,0
Bolitoglossa chica,0
Bolitoglossa chinanteca,0
Bolitoglossa chucantiensis,0
Bolitoglossa colonnea,838.5239515
Bolitoglossa compacta,0
Bolitoglossa conanti,0
Bolitoglossa copia,0
Bolitoglossa copinhorum,0
Bolitoglossa cuchumatana,0
Bolitoglossa cuna,1.302624815
Bolitoglossa daryorum,0
Bolitoglossa decora,0
Bolitoglossa diaphora,0
Bolitoglossa digitigrada,0
Bolitoglossa diminuta,0
Bolitoglossa dofleini,13.46178417
Bolitoglossa dunni,0
Bolitoglossa engelhardti,0
Bolitoglossa epimela,0
Bolitoglossa equatoriana,0
Bolitoglossa eremia,0
Bolitoglossa flavimembris,0
Bolitoglossa flaviventris,10.33297623
Bolitoglossa franklini,0
Bolitoglossa gomezi,0
Bolitoglossa gracilis,0
Bolitoglossa guaneae,0
Bolitoglossa guaramacalensis,0
Bolitoglossa hartwegi,0
Bolitoglossa heiroreias,0
Bolitoglossa helmrichi,0
Bolitoglossa hermosa,0
Bolitoglossa hiemalis,0
Bolitoglossa huehuetenanguensis,0
Bolitoglossa hypacra,0
Bolitoglossa indio,0.001127931
Bolitoglossa insularis,0
Bolitoglossa jacksoni,0
Bolitoglossa jugivagans,0
Bolitoglossa kamuk,0
Bolitoglossa kaqchikelorum,0
Bolitoglossa la,0
Bolitoglossa leandrae,0
Bolitoglossa lignicolor,876.3648262
Bolitoglossa lincolni,0
Bolitoglossa longissima,0
Bolitoglossa lozanoi,2.024581463
Bolitoglossa macrinii,11.2402527
Bolitoglossa magnifica,0
Bolitoglossa marmorea,0
Bolitoglossa medemi,1766.237838
Bolitoglossa meliana,0
Bolitoglossa mexicana,14374.95175
Bolitoglossa minutula,0
Bolitoglossa mombachoensis,0
Bolitoglossa morio,0
Bolitoglossa mucuyensis,0
Bolitoglossa mulleri,0
Bolitoglossa nicefori,0
Bolitoglossa nigrescens,0
Bolitoglossa ninadormida,0
Bolitoglossa nussbaumi,0
Bolitoglossa nympha,239.6897654
Bolitoglossa oaxacensis,0
Bolitoglossa obscura,0
Bolitoglossa occidentalis,4.590965993
Bolitoglossa odonnelli,0.018758214
Bolitoglossa omniumsanctorum,0
Bolitoglossa oresbia,0
Bolitoglossa orestes,0
Bolitoglossa pacaya,0
Bolitoglossa palmata,0
Bolitoglossa pandi,0
Bolitoglossa paraensis,418.3635344
Bolitoglossa peruviana,1211.801264
Bolitoglossa pesrubra,0
Bolitoglossa phalarosoma,3.142361203
Bolitoglossa platydactyla,5819.416471
Bolitoglossa porrasorum,0
Bolitoglossa psephena,0
