OBJECTID,SISID,binomial,Shape_Length,Shape_Area,Original_area_km2
5244,22706747,Pericrocotus lansbergei,29.28036674,2.465998385,30021.14441
5245,22706757,Pericrocotus ethologus,187.4590408,572.6506786,6237979.985
5246,22706760,Pericrocotus brevirostris,126.0492057,216.6527024,2416358.635
5247,22706763,Pericrocotus miniatus,53.60824928,12.65270729,155206.3255
5248,22706766,Pericrocotus flammeus,789.7569108,585.4309677,6801456.95
5249,22706769,Hemipus picatus,463.3621151,426.13834,4982636.392
5250,22706772,Hemipus hirundinaceus,313.688365,113.3378561,1391676.637
5251,22706775,Chelidorhynx hypoxanthus,97.67668666,172.3140697,1910225.975
5252,22706784,Rhipidura phoenicura,17.61002269,0.677466857,8270.499455
5253,22706787,Rhipidura nigrocinnamomea,20.73481443,0.737494476,9000.730219
5254,22706793,Rhipidura euryura,17.83442167,0.697310266,8512.959492
5255,22706796,Rhipidura aureola,260.6078033,377.1068958,4306595.473
5256,22706802,Rhipidura perlata,184.7311676,104.6880864,1287003.499
5257,22706805,Rhipidura leucophrys,846.6010626,751.8727062,8400290.7
5258,22706809,Rhipidura diluta,29.44753332,2.509022368,30545.40803
5259,22706815,Rhipidura fuscorufa,12.98041829,0.392021718,4783.919619
5260,22706821,Rhipidura threnothorax,235.975165,48.50358466,594362.6105
5261,22706826,Rhipidura maculipectus,169.9069049,11.23188063,137531.4564
5262,22706831,Rhipidura leucothorax,183.2189644,46.12465845,565339.168
5263,22706836,Rhipidura atra,117.3846202,14.61685998,179053.1028
5264,22706839,Rhipidura hyperythra,212.4874259,38.01300147,465783.3251
5265,22706842,Rhipidura albolimbata,83.38808983,12.11997914,148493.8597
5266,22706845,Rhipidura phasiana,287.67563,27.03478579,319562.1439
5267,22706861,Rhipidura tenebrosa,4.319566637,0.275729228,3338.039893
5268,22706865,Rhipidura rennelliana,1.798914127,0.055998376,675.4653739
5269,22706875,Rhipidura personata,2.592690768,0.039699435,462.6018563
5270,22706878,Rhipidura nebulosa,3.053188751,0.163449308,1955.35651
5271,22706881,Rhipidura brachyrhyncha,53.954038,10.70588037,131179.8732
5272,22706884,Rhipidura teysmanni,59.02131216,5.417719003,66641.33466
5273,22706887,Rhipidura superflua,6.639398782,0.211729433,2601.615245
5274,22706890,Rhipidura dedemi,9.235356667,0.274615031,3375.296364
5275,22706894,Rhipidura opistherythra,5.363358248,0.25578188,3122.041151
5276,22706897,Rhipidura lepida,2.588558455,0.036270309,442.7771284
5277,22706900,Rhipidura rufidorsa,269.7078804,39.90449665,489136.7747
5278,22706903,Rhipidura dahli,27.56765679,3.526686501,43231.52236
5279,22706906,Rhipidura matthiae,1.154132534,0.028889552,355.4940274
5280,22706910,Rhipidura malaitae,6.661116093,0.050611023,615.5890434
5281,22706913,Rhipidura kubaryi,1.409486714,0.028731964,351.1826818
5282,22706921,Rhipidura semirubra,4.951758675,0.163613046,2012.606482
5283,22706924,Chaetorhynchus papuensis,145.2661779,24.93601744,305617.0847
5284,22706927,Dicrurus ludwigii,363.2093797,381.036549,4614803.6
5285,22706931,Dicrurus atripennis,120.0951842,149.0483156,1831365.714
5286,22706943,Dicrurus aldabranus,1.543111135,0.013127673,159.4770588
5287,22706947,Dicrurus fuscipennis,2.19383829,0.067108683,809.4992261
5288,22706952,Dicrurus forficatus,66.23299052,50.96307681,591728.6653
5289,22706957,Dicrurus waldenii,2.457798481,0.026339922,316.3528127
5290,22706961,Dicrurus macrocercus,721.3733424,873.4579514,9664047.578
5291,22706964,Dicrurus leucophaeus,722.797164,837.6351597,9278086.901
5292,22706967,Dicrurus caerulescens,99.46337988,198.2331846,2282008.476
5293,22706970,Dicrurus annectens,386.5613854,231.9272886,2724413.846
5294,22706973,Dicrurus aeneus,615.3655221,396.1076023,4638121.202
5295,22706976,Dicrurus remifer,271.0839704,211.1997734,2437942.695
5296,22706984,Dicrurus sumatranus,103.4503327,31.62816025,388829.9351
5297,22706987,Dicrurus montanus,40.73566564,4.282710037,52683.32871
5298,22706990,Dicrurus densus,81.41967164,6.982711316,84940.27215
5299,22706993,Dicrurus balicassius,80.49870205,12.72557647,151573.5258
5300,22706996,Dicrurus bracteatus,660.7990357,170.9164,1975516.658
5301,22706999,Dicrurus megarhynchus,8.801564747,0.571540585,7019.612685
5302,22707002,Dicrurus andamanensis,16.86189469,0.475933203,5726.812475
5303,22707008,Erythrocercus mccallii,161.1097114,176.5513289,2166316.252
5304,22707012,Erythrocercus holochlorus,40.03192069,15.08426904,185129.8693
5305,22707017,Erythrocercus livingstonei,106.5739967,95.69755361,1133264.683
5306,22707021,Elminia longicauda,295.1709825,319.6150577,3910744.972
5307,22707028,Elminia albicauda,120.6795195,162.8640715,1971218.879
5308,22707034,Elminia nigromitrata,154.7941214,198.1214689,2433500.499
5309,22707043,Elminia albiventris,45.72133264,18.31166545,224842.6845
5310,22707052,Elminia albonotata,123.2620726,74.92528315,905282.7244
5311,22707061,Trochocercus nitens,203.3182611,299.8876027,3680699.948
5312,22707074,Hypothymis helenae,103.6984661,10.32647188,123419.6619
5313,22707078,Hypothymis coelestis,292.081298,14.93404893,179521.3718
5314,22707085,Eutrichomyias rowleyi,1.925245561,0.045242329,555.8469684
5315,22707096,Terpsiphone bedfordi,14.19809014,3.459219426,42552.8607
5316,22707108,Terpsiphone viridis,565.5017181,1202.668652,14483497.15
5317,22707115,Terpsiphone atrochalybeia,1.288836961,0.069747105,858.5137654
5318,22707126,Terpsiphone mutata,66.79421684,51.05937061,592893.7765
5319,22707133,Terpsiphone corvina,0.88171799,0.004523451,55.52573837
5320,22707140,Terpsiphone bourbonnensis,4.184526904,0.286386777,3297.839408
5321,22707151,Terpsiphone atrocaudata,358.8856706,95.01917893,1081333.736
5322,22707161,Terpsiphone cyanescens,26.19148799,0.944778678,11452.5944
5323,22707172,Pomarea dimidiata,0.498379498,0.00859118,98.97970702
5324,22707178,Pomarea nigra,0.454987196,0.00493447,57.95122122
5325,22707192,Pomarea whitneyi,0.113885639,0.000332779,4.029372549
5326,22707200,Mayrornis versicolor,0.268676886,0.001412399,16.44502975
5327,22707204,Mayrornis lessoni,2912.484915,31.20244015,368193.4419
5328,22707207,Mayrornis schistaceus,1.01781347,0.014866462,179.3151426
5329,22707210,Neolalage banksiana,18.51128545,0.833487162,9879.995126
5330,22707213,Clytorhynchus pachycephaloides,39.43146973,2.353051962,27352.86071
5331,22707216,Clytorhynchus vitiensis,3643.121719,64.83557842,764797.9546
5332,22707224,Clytorhynchus hamlini,2.810993032,0.055764238,672.6727335
5333,22707227,Metabolus rugensis,1.188492157,0.006879168,83.99497418
5334,22707231,Symposiachrus axillaris,105.9750453,9.717969248,118942.6623
5335,22707234,Symposiachrus rubiensis,131.427372,21.93011346,268702.0578
5336,22707237,Monarcha cinerascens,314.8761346,12.10258929,148476.4246
5337,22707240,Monarcha frater,185.5683232,18.53228714,226579.0711
5338,22707243,Monarcha melanopsis,199.9587672,51.58166863,571258.909
5339,22707252,Monarcha richardsii,16.84448511,0.418479082,5099.332526
5340,22707255,Carterornis pileatus,25.59999832,1.695896094,20864.03501
5341,22707258,Carterornis castus,6.822085364,0.31094591,3794.528068
5342,22707261,Carterornis leucotis,102.019147,27.43220677,312552.7739
5343,22707267,Symposiachrus guttula,389.2917967,53.70552829,657660.0606
5344,22707274,Symposiachrus mundus,8.303532023,0.378410185,4617.597675
5345,22707277,Symposiachrus trivirgatus,202.7787309,52.52789251,612382.1149
5346,22707285,Symposiachrus sacerdotum,2.673979684,0.057194531,696.2179295
5347,22707288,Symposiachrus everetti,0.835869582,0.013960993,170.5677298
5348,22707291,Symposiachrus loricatus,5.759177121,0.648122841,7963.838431
5349,22707294,Symposiachrus boanensis,0.119206696,0.001128525,13.87252462
5350,22707297,Symposiachrus leucurus,5.182620372,0.090753659,1111.789386
5351,22707300,Symposiachrus julianae,0.801500745,0.011679698,143.7357955
5352,22707304,Symposiachrus manadensis,215.2609582,36.31146553,445256.3989
5353,22707307,Symposiachrus brehmii,3.678942335,0.205101438,2524.270469
5354,22707310,Symposiachrus infelix,4.707013275,0.164624892,2025.047961
5355,22707313,Symposiachrus menckei,0.673146529,0.019455679,239.4093108
5356,22707326,Symposiachrus browni,17.14005632,0.380410239,4635.152217
5357,22707330,Symposiachrus vidua,4.403458343,0.278888877,3376.333206
5358,22707333,Metabolus godeffroyi,0.832935848,0.008067556,97.96768697
5359,22707336,Metabolus takatsukasae,0.459654425,0.008956436,106.5760885
5360,22707339,Carterornis chrysomela,418.2755578,53.19809563,651591.6528
5361,22707348,Arses insularis,41.21146937,14.00430485,171995.6288
5362,22707351,Arses kaupi,12.22739918,2.365696823,27768.31046
5363,22707354,Myiagra freycineti,1.349105933,0.046568438,557.9182199
5364,22707358,Myiagra erythrops,2.891125872,0.037412077,456.7242786
5365,22707362,Myiagra oceanica,2.151196246,0.008668085,105.8576154
5366,22707365,Myiagra pluto,1.934343676,0.029570447,361.4388317
5367,22707368,Myiagra atra,3.84986831,0.205627037,2530.739386
5368,22707373,Myiagra galeata,64.96460763,3.628868103,44624.81658
5369,22707377,Myiagra rubecula,457.598429,201.1485263,2268688.009
5370,22707380,Myiagra ferrocyanea,57.18668154,2.676987376,32643.69226
5371,22707383,Myiagra cervinicauda,4.541881409,0.280148836,3391.572767
5372,22707387,Myiagra caledonica,49.980093,2.707527298,31488.18881
5373,22707390,Myiagra vanikorensis,3635.357468,64.79274696,764304.8199
5374,22707393,Myiagra albiventris,3.793824397,0.240455631,2877.264503
5375,22707400,Myiagra ruficollis,356.1383336,48.36344906,580827.1438
5376,22707403,Myiagra cyanoleuca,399.0418613,125.9340841,1375994.672
5377,22707409,Myiagra alecto,572.1018353,115.0852011,1376380.622
5378,22707419,Machaerirhynchus flaviventer,282.1108401,58.10778942,708926.369
5379,22707422,Machaerirhynchus nigripectus,63.57212587,18.26377454,223750.0161
5380,22707425,Grallina cyanoleuca,509.54742,608.9184343,6745906.302
5381,22707429,Grallina bruijnii,95.39295173,21.21052359,259816.2245
5382,22707433,Aegithina tiphia,629.2552061,542.921705,6355526.862
5383,22707436,Aegithina nigrolutea,57.33526621,63.48807943,714064.8446
5384,22707440,Aegithina viridissima,368.3466983,90.30049734,1109607.109
5385,22707443,Aegithina lafresnayei,200.7235467,141.492223,1675870.811
5386,22707446,Lanioturdus torquatus,36.75312009,29.32797447,342749.2167
5387,22707451,Nilaus afer,720.33188,884.802023,10555403.03
5388,22707455,Dryoscopus gambensis,314.6788161,461.1581154,5608556.138
5389,22707459,Dryoscopus pringlii,72.64408299,36.52902451,448810.2503
5390,22707463,Dryoscopus cubla,353.6384069,482.6332671,5720592.414
5391,22707468,Dryoscopus senegalensis,117.7812919,117.1391349,1438928.383
5392,22707473,Dryoscopus angolensis,92.71316745,30.33856919,372333.565
5393,22707477,Dryoscopus sabini,156.3297195,98.3172218,1204980.211
5394,22707482,Bocagia minuta,429.5935653,276.785168,3369807.498
5395,22707495,Tchagra senegalus,751.6888445,1245.817257,14953617.62
5396,22707505,Tchagra australis,434.8708581,695.9708436,8304821.517
5397,22707510,Tchagra jamesi,86.9310885,97.57198227,1196415.496
5398,22707514,Tchagra tchagra,49.93055049,23.87758359,251715.7677
5399,22707518,Laniarius ruficeps,76.43898701,53.87855274,660017.4775
5400,22707524,Laniarius luehderi,133.1731102,112.2202859,1379774.625
5401,22707532,Laniarius brauni,0.904036799,0.048597225,592.100863
5402,22707540,Laniarius amboimensis,3.907857702,0.242202342,2924.073926
5403,22707554,Laniarius turatii,36.40020727,11.11916761,134848.4597
5404,22707566,Laniarius bicolor,86.21417262,38.64467102,459585.0634
5405,22707571,Laniarius ferrugineus,95.35708068,65.80169964,721238.4868
5406,22707575,Laniarius barbarus,143.7842631,235.016549,2828303.985
5407,22707580,Laniarius erythrogaster,214.3802852,163.6785538,1988971.431
5408,22707586,Laniarius atrococcineus,120.2986552,171.8721454,1962849.967
5409,22707593,Laniarius mufumbiri,45.48386026,8.042150843,98960.95884
5410,22707597,Laniarius atroflavus,18.55348929,4.417531397,54064.73926
5411,22707601,Laniarius funebris,188.566049,93.96643365,1152631.287
5412,22707606,Laniarius leucorhynchus,152.5373964,203.4069424,2498682.457
5413,22707617,Laniarius fuelleborni,27.74841208,5.953507783,72494.69755
5414,22707623,Rhodophoneus cruentus,125.1738091,151.386249,1845064.812
5415,22707629,Telophorus zeylonus,132.6264933,121.3456786,1314536.892
5416,22707638,Chlorophoneus bocagei,120.6169943,63.92968504,785385.48
5417,22707647,Chlorophoneus sulfureopectus,541.4814725,730.9986866,8776744.112
5418,22707656,Chlorophoneus olivaceus,90.90444581,30.54311141,332457.4722
5419,22707672,Chlorophoneus nigrifrons,113.6157975,44.68915219,540075.0019
5420,22707678,Chlorophoneus kupeensis,1.858705734,0.047856396,586.3979443
5421,22707701,Telophorus dohertyi,38.92281164,9.196381208,113099.6868
5422,22707716,Malaconotus cruentus,139.5788836,183.4529073,2250425.679
5423,22707722,Malaconotus lagdeni,50.53793215,27.66658824,338590.8475
5424,22707728,Malaconotus gladiator,12.64131835,0.58466275,7161.517766
5425,22707735,Malaconotus blanchoti,594.1711602,611.0952002,7329839.392
5426,22707741,Malaconotus monteiri,13.46849826,2.223154692,27000.45983
5427,22707747,Malaconotus alius,0.610034917,0.006847182,83.6862426
5428,22707753,Prionops plumatus,500.3583242,888.3607799,10670452.59
5429,22707760,Prionops poliolophus,18.66365333,4.506062436,55433.02941
5430,22707769,Prionops alberti,22.27637415,2.743557248,33733.35799
5431,22707783,Prionops rufiventris,82.70832293,154.7712663,1903300.239
5432,22707788,Prionops retzii,206.6724437,374.1455596,4450685.887
5433,22707794,Prionops gabela,16.73889748,2.57590676,31197.67006
5434,22707801,Prionops scopifrons,118.0323506,69.3998499,827672.3935
5435,22707807,Megabyas flammulatus,263.5300469,332.8014461,4083665.58
5436,22707816,Bias musicus,279.6611087,306.4190093,3740911.472
5437,22707821,Pseudobias wardi,36.16911657,14.81709876,172355.7244
5438,22707826,Batis diops,32.60013197,5.566322403,68443.61975
5439,22707830,Batis margaritae,13.85327159,8.638379272,103850.4624
5440,22707842,Batis reichenowi,6.584569537,0.917201006,11119.21628
5441,22707847,Batis dimorpha,16.54975884,6.164673548,73461.69438
5442,22707858,Batis fratrum,59.42549452,36.78368556,426335.8775
5443,22707864,Batis molitor,255.7101982,441.1324161,5233472.419
5444,22707868,Batis soror,104.1246527,72.45012553,863137.7806
5445,22707873,Batis pririt,93.90134935,138.7437947,1547965.248
5446,22707877,Batis senegalensis,149.0497535,251.9075165,3034342.954
5447,22707881,Batis orientalis,260.6182185,221.6044813,2679881.353
5448,22707897,Batis perkeo,72.67086208,77.29549149,949395.3274
5449,22707901,Batis minima,30.45376302,11.26437792,138510.7986
5450,22707906,Batis ituriensis,32.18470364,21.74858956,267492.3917
5451,22707910,Batis occulta,62.52549474,41.89853478,514229.4948
5452,22707915,Batis poensis,2.931141986,0.12651315,1554.431008
5453,22707920,Batis minulla,51.48680459,38.74447307,474658.2566
5454,22707924,Platysteira cyanea,341.3762256,457.7892248,5597992.924
5455,22707929,Platysteira laticincta,7.58834957,0.151822606,1858.593375
5456,22707934,Platysteira albifrons,25.28337358,12.83938906,155796.3382
5457,22707938,Platysteira peltata,292.701299,300.5662547,3620348.156
5458,22707950,Dyaphorophyia tonsa,79.69286581,95.02838356,1168674.202
5459,22707957,Dyaphorophyia blissetti,67.36395588,38.69757731,473008.6705
5460,22707966,Dyaphorophyia chalybea,37.64073598,46.75593408,574186.482
5461,22707975,Dyaphorophyia jamesoni,84.01546702,45.45157287,559068.1117
5462,22707991,Philentoma pyrhoptera,301.2376729,99.60494444,1224084.433
5463,22707998,Philentoma velata,340.4051763,93.75100671,1151168.524
5464,22708012,Calicalicus madagascariensis,76.28240992,29.1793376,341443.0112
5465,22708016,Schetba rufa,88.98012586,35.00714528,408086.4959
5466,22708020,Vanga curvirostris,92.64914212,42.98015543,499102.8002
5467,22708024,Xenopirostris xenopirostris,16.02677742,3.605649659,40589.92634
5468,22708028,Xenopirostris damii,12.84531177,1.18882166,14093.16668
5469,22708033,Xenopirostris polleni,27.68911874,5.298295644,61346.74727
5470,22708037,Artamella viridis,83.88850276,35.71163136,415333.9602
5471,22708041,Falculea palliata,63.28310933,26.03442369,301726.0757
5472,22708046,Leptopterus chabert,74.56307935,49.77702509,577947.5372
5473,22708054,Oriolia bernieri,39.2320147,1.708411947,20172.63394
5474,22708058,Euryceros prevostii,37.47551595,1.372326031,16245.70978
5475,22708069,Hypositta corallirostris,42.63729075,13.66759513,159578.3896
5476,22708091,Heteralocha acutirostris,11.74229423,5.142732228,49186.05466
5477,22708094,Chaetops frenatus,19.76943789,6.464871558,66557.24485
5478,22708101,Chaetops aurantius,21.98722474,9.747875737,103522.9876
5479,22708108,Picathartes gymnocephalus,39.71322324,31.81741696,388876.1204
5480,22708119,Picathartes oreas,34.02001372,30.99901533,381179.9717
5481,22708129,Dulus dominicus,27.13483756,6.424023543,74909.05937
5482,22708132,Ptiliogonys cinereus,85.41409346,45.53277468,524036.379
5483,22708136,Ptiliogonys caudatus,7.679716621,0.78594492,9544.234256
5484,22708139,Phainopepla nitens,157.0112477,131.9618465,1423961.519
5485,22708142,Phainoptila melanoxantha,16.75138657,0.540346915,6565.626704
5486,22708146,Bombycilla garrulus,3315.697373,4542.985038,32419049.67
5487,22708150,Bombycilla japonica,619.4035263,341.3571499,2963013.695
5488,22708153,Bombycilla cedrorum,1830.785489,1558.838475,14350396.39
5489,22708156,Cinclus cinclus,2045.2287,1295.519561,10248831.89
5490,22708160,Cinclus pallasii,914.5712034,1026.16581,9409863.939
5491,22708163,Cinclus mexicanus,1079.014178,681.9669439,4910207.18
5492,22708166,Cinclus leucocephalus,117.6646993,51.12034203,619983.7046
5493,22708169,Cinclus schulzii,25.98662251,11.88196984,133757.1021
5494,22708188,Neocossyphus rufus,125.9218101,91.39148261,1123636.524
5495,22708195,Neocossyphus poensis,177.4369318,204.3251658,2509850.319
5496,22708202,Monticola sharpei,46.71792424,20.89813224,242864.3413
5497,22708218,Monticola imerina,14.18431493,1.675088765,18847.06048
5498,22708227,Monticola rupestris,54.00599984,51.78675535,557586.2019
5499,22708233,Monticola explorator,62.30279063,34.52972058,368677.3184
5500,22708239,Monticola brevipes,79.90030781,93.23890694,1043717.279
5501,22708251,Monticola angolensis,210.8249999,184.5609558,2218233.639
5502,22708257,Monticola saxatilis,1068.595364,1453.92741,14469392.45
5503,22708265,Monticola rufocinereus,134.977758,48.16567521,583380.1993
5504,22708271,Monticola cinclorhyncha,132.867202,264.7236077,2943839.81
5505,22708276,Monticola gularis,263.9345485,417.7598402,3921578.722
5506,22708281,Monticola rufiventris,217.0527757,273.097207,3015116.281
5507,22708286,Monticola solitarius,2816.326599,1969.643052,21335303.35
5508,22708292,Myophonus blighi,10.18046027,0.250894951,3066.026159
5509,22708303,Myophonus melanurus,34.41459085,5.445348442,66916.86101
5510,22708313,Myophonus robinsoni,9.748935123,0.881590576,10816.58025
5511,22708324,Myophonus horsfieldii,63.84458344,35.53063928,412478.9719
5512,22708329,Myophonus caeruleus,489.8256162,660.5098315,7139498.476
5513,22708334,Myophonus insularis,8.068147692,1.971109499,22221.8839
5514,22708339,Geomalia heinrichi,7.881014658,0.71016374,8733.462231
5515,22708342,Geokichla schistacea,6.215474303,0.287476245,3508.654282
5516,22708361,Geokichla dohertyi,17.28387086,1.157749253,14083.94221
5517,22708364,Geokichla wardii,60.83144828,17.0894729,194220.5644
5518,22708367,Geokichla cinerea,45.32831069,9.692548713,114921.7374
5519,22708370,Geokichla peronii,25.19377121,2.673527841,32498.4251
